Column 1	match-ID-F	score-lc	LC	LC-ID	match_ID	score	LC-C	LC-ID-C	score-c	org	Column 3	Column 4	blank
Zorn, Herbert M			Zorn, Herbert M				Zorn, Herbert M			Person		http://example.org/104281#Agent100-13	
Friso, Hendrik B. J			Friso, Hendrik B. J				Friso, Hendrik B. J			Person		http://example.org/1040395#Agent100-11	
Morris, Sidney	n50005667	100	Morris, Sidney				Morris, Sidney			Person		http://example.org/1094731#Agent100-11	
Federmann, Nicolaus, 1506?-1542			Federmann, Nicolaus, 1506?-1542				Federmann, Nicolaus, 1506?-1542			Person		http://example.org/1019847#Agent100-12	
Diadiuk, Alicia			Diadiuk, Alicia				Diadiuk, Alicia			Person		http://example.org/10396#Agent100-10	
Bompiani, Valentino, 1898-1992	n83214290	100	Bompiani, Valentino, 1898-1992	n83214290	n83214290	1	Bompiani, Valentino, 1898-1992			Person		http://example.org/100165#Agent100-10	
Bompiani, Valentino, 1898-1992	n83214290	100	Bompiani, Valentino, 1898-1992	n83214290	n83214290	1	Bompiani, Valentino, 1898-1992			Person		http://example.org/100165#Agent600-19	
Grancher, Marcel E.	n50037068	100	Grancher, Marcel E	n50037068	n50037068	0.8947368421	Grancher, Marcel E			Person		http://example.org/10212#Agent100-9	
Díaz-Plaja, Guillermo, 1909-1984	n50002088	98	Díaz-Plaja, Guillermo, 1909-1984	n50002088	n50002088	1	Díaz-Plaja, Guillermo, 1909-1984			Person		http://example.org/1093855#Agent100-10	
Garcés, Tomàs, 1901-1993	n85083037	95	Garcés, Tomàs, 1901-1993	n85083037	n85083037	1	Garcés, Tomàs, 1901-1993			Person		http://example.org/1094910#Agent100-10	
Garrut Romá, José María	n79072808	93	Garrut Romá, José María				Garrut Romá, José María			Person		http://example.org/1080850#Agent100-10	
Drummond, James, 1835-1918	n85387765	100	Drummond, James, 1835-1918	n85387765	n85387765	1	Drummond, James, 1835-1918			Person		http://example.org/1010490#Agent100-10	
Sverdlov, L. M. (Lazarʹ Matveevich)	n90672113	100	Sverdlov, L. M. (Lazarʹ Matveevich)	n90672113	n90672113	1	Sverdlov, L. M. (Lazarʹ Matveevich)			Person		http://example.org/1036304#Agent100-12	
Kovner, M. A. (Mikhail Arkadʹevich)	n80113459	100	Kovner, M. A. (Mikhail Arkadʹevich)	n80113459	n80113459	1	Kovner, M. A. (Mikhail Arkadʹevich)			Person		http://example.org/1036304#Agent700-24	
Kraĭnov, E. P. (Evgeniĭ Petrovich)	n90672127	96	Kraĭnov, E. P. (Evgeniĭ Petrovich)	n90672127	n90672127	0.8888888889	Kraĭnov, E. P. (Evgeniĭ Petrovich)			Person		http://example.org/1036304#Agent700-25	
Timoshenko, Stephen, 1878-1972	n50012733	100	Timoshenko, Stephen, 1878-1972	n50012733	n50012733	1	Timoshenko, Stephen, 1878-1972			Person		http://example.org/1036310#Agent100-11	
Young, D. H. (Donovan Harold), 1904-	n88284831	100	Young, D. H. (Donovan Harold), 1904- 	n88284831	n88284831	0.9722222222	Young, D. H. (Donovan Harold), 1904- 			Person		http://example.org/1036310#Agent700-21	
Weaver, William, 1929-	n50033992	100	Weaver, William, 1929- 	n50033992	n50033992	1	Weaver, William, 1929- 			Person		http://example.org/1036310#Agent700-22	
Hauck, Werner	no2012035500	83	Hauck, Werner				Hauck, Werner			Person		http://example.org/104892#Agent100-10	
Baty, T. (Thomas), 1869-1954	n85170869	100	Baty, T. (Thomas), 1869-1954	n85170869	n85170869	1	Baty, T. (Thomas), 1869-1954			Person		http://example.org/107117#Agent100-9	
Reckless, Walter Cade			Reckless, Walter Cade				Reckless, Walter Cade			Person		http://example.org/1028658#Agent100-12	
Williams, Robert Hunter, 1933-	no2013029120	90	Williams, Robert Hunter, 1933-				Williams, Robert Hunter, 1933-			Person		http://example.org/1035541#Agent100-13	
Marchal, Léon			Marchal, Léon				Marchal, Léon			Person		http://example.org/108530#Agent100-13	
Scott, J. D. (John Dick), 1917-	nr94040850	100	Scott, J. D. (John Dick), 1917-	nr94040850	nr94040850	1	Scott, J. D. (John Dick), 1917-			Person		http://example.org/1004856#Agent100-11	
Vickers Limited	n50038102	100	Vickers Limited		n50038102		Vickers Limited	n50038102	1	Organization		http://example.org/1004856#Agent610-19	
Vickers-Armstrongs Limited	nr91012269	100	Vickers-Armstrongs Limited		nr91012269		Vickers-Armstrongs Limited	nr91012269	1	Organization		http://example.org/1004856#Agent610-20	
Vicky, 1913-1966	n88097630	100	Vicky, 1913-1966	n88097630	n88097630	1	Vicky, 1913-1966			Person		http://example.org/1085602#Agent100-10	
Woods, Grahame	n89632820	100	Woods, Grahame	n89632820	n89632820	1	Woods, Grahame			Person		http://example.org/1047077#Agent100-10	
Metastasio, Arthur Paul, 1913-			Metastasio, Arthur Paul, 1913-				Metastasio, Arthur Paul, 1913-			Person		http://example.org/1064534#Agent100-10	
Vico, Giambattista, 1668-1744	n79040143	100	Vico, Giambattista, 1668-1744	n79040143	n79040143	0.9666666667	Vico, Giambattista, 1668-1744			Person		http://example.org/1064534#Agent600-20	
Henseler, Donna Leah, 1930-			Henseler, Donna Leah, 1930-				Henseler, Donna Leah, 1930-			Person		http://example.org/1023654#Agent100-9	
Joyce, James, 1882-1941	n79056824	100	Joyce, James, 1882-1941	n79056824	n79056824	0.9583333333	Joyce, James, 1882-1941			Person		http://example.org/1023654#Agent600-19	
Vico, Giambattista, 1668-1744	n79040143	100	Vico, Giambattista, 1668-1744	n79040143	n79040143	0.9666666667	Vico, Giambattista, 1668-1744			Person		http://example.org/1023654#Agent600-20	
Schur, Edwin M.	n79066567	100	Schur, Edwin M	n79066567	n79066567	0.9333333333	Schur, Edwin M			Person		http://example.org/1047916#Agent100-17	
Bedau, Hugo Adam	n50006938	100	Bedau, Hugo Adam	n50006938	n50006938	1	Bedau, Hugo Adam			Person		http://example.org/1047916#Agent700-27	
Fasquelle, Solange, 1933-	n50011987	100	Fasquelle, Solange, 1933-	n50011987	n50011987	1	Fasquelle, Solange, 1933-			Person		http://example.org/1076237#Agent100-9	
Miracle, Josep	n79039983	100	Miracle, Josep	n79039983	n79039983	1	Miracle, Josep			Person		http://example.org/1093924#Agent100-10	
Albert y Paradís, Catalina, 1873-			Albert y Paradís, Catalina, 1873-				Albert y Paradís, Catalina, 1873-			Person		http://example.org/1093924#Agent600-18	
Les Amis de Victor Charreton			Les Amis de Victor Charreton				Les Amis de Victor Charreton			Organization		http://example.org/1085334#Agent110-10	
Charreton, Victor, 1864-1936	nr91028803	100	Charreton, Victor, 1864-1936	nr91028803	nr91028803	1	Charreton, Victor, 1864-1936			Person		http://example.org/1085334#Agent600-18	
Brewer, Walter Vance	no2015008227	88	Brewer, Walter Vance				Brewer, Walter Vance			Person		http://example.org/1058090#Agent100-11	
Cousin, Victor, 1792-1867	n50058687	100	Cousin, Victor, 1792-1867				Cousin, Victor, 1792-1867			Person		http://example.org/1058090#Agent600-22	
Wehrlé, Joannès, 1865-1938			Wehrlé, Joannès, 1865-1938				Wehrlé, Joannès, 1865-1938			Person		http://example.org/1072853#Agent100-10	
Delbos, Victor, 1862-1916	n93051501	100	Delbos, Victor, 1862-1916	n93051501	n93051501	1	Delbos, Victor, 1862-1916			Person		http://example.org/1072853#Agent600-19	
Rohr, Jean	n88629922	100	Rohr, Jean	n88629922	n88629922	1	Rohr, Jean			Person		http://example.org/1058529#Agent100-11	
Duruy, Victor, 1811-1894	n80105074	100	Duruy, Victor, 1811-1894	n80105074	n80105074	0.9583333333	Duruy, Victor, 1811-1894			Person		http://example.org/1058529#Agent600-19	
Weck, René de, 1887-1950	no2004016409	98	Weck, René de, 1887-1950	no2004016409	no2004016409	1	Weck, René de, 1887-1950			Person		http://example.org/1009310#Agent100-9	
Waters, Edward N. (Edward Neighbor), 1906-1991	n86034503	100	Waters, Edward N. (Edward Neighbor), 1906-1991	n86034503	n86034503	1	Waters, Edward N. (Edward Neighbor), 1906-1991			Person		http://example.org/1082262#Agent100-10	
Herbert, Victor, 1859-1924	n79105792	100	Herbert, Victor, 1859-1924	n79105792	n79105792	1	Herbert, Victor, 1859-1924			Person		http://example.org/1082262#Agent600-18	
Herbert, Victor, 1859-1924	n79105792	100	Herbert, Victor, 1859-1924	n79105792	n79105792	1	Herbert, Victor, 1859-1924			Person		http://example.org/1082262#Agent600-19	
Kaye, Joseph	nr93031400	100	Kaye, Joseph				Kaye, Joseph			Person		http://example.org/1082261#Agent100-11	
Herbert, Victor, 1859-1924	n79105792	100	Herbert, Victor, 1859-1924	n79105792	n79105792	1	Herbert, Victor, 1859-1924			Person		http://example.org/1082261#Agent600-20	
Duits, Charles	n50030519	100	Duits, Charles				Duits, Charles			Person		http://example.org/103095#Agent100-10	
Hugo, Victor, 1802-1885	n79091479	100	Hugo, Victor, 1802-1885	n79091479	n79091479	0.9565217391	Hugo, Victor, 1802-1885			Person		http://example.org/103095#Agent600-19	
Llopis, Arturo			Llopis, Arturo				Llopis, Arturo			Person		http://example.org/1082692#Agent100-10	
Angeles, Victoria de los, 1923-			Angeles, Victoria de los, 1923-				Angeles, Victoria de los, 1923-			Person		http://example.org/1082692#Agent600-18	
Betjeman, John, 1906-1984	n80034100	100	Betjeman, John, 1906-1984	n80034100	n80034100	1	Betjeman, John, 1906-1984			Person		http://example.org/1037614#Agent100-13	
Rowse, A. L. (Alfred Leslie), 1903-1997	n78095577	100	Rowse, A. L. (Alfred Leslie), 1903-1997	n78095577	n78095577	0.9743589744	Rowse, A. L. (Alfred Leslie), 1903-1997			Person		http://example.org/1037614#Agent700-23	
Royal Academy of Arts (Great Britain)	n80032672	100	Royal Academy of Arts (Great Britain)		n80032672		Royal Academy of Arts (Great Britain)	n80032672	1	Organization		http://example.org/1087962#Agent110-14	
Handley-Read, Charles	no99060574	100	Handley-Read, Charles	no99060574	no99060574	1	Handley-Read, Charles			Person		http://example.org/1087962#Agent600-23	
McKay, Alexander Gordon, 1924-	n50013513	81	McKay, Alexander Gordon, 1924-				McKay, Alexander Gordon, 1924-			Person		http://example.org/1081022#Agent100-13	
Architectural Conservancy of Ontario. Hamilton-Niagara Branch			Architectural Conservancy of Ontario. Hamilton-Niagara Branch				Architectural Conservancy of Ontario. Hamilton-Niagara Branch			Organization		http://example.org/1081022#Agent710-24	
Curl, James Stevens, 1937-	n50018546	100	Curl, James Stevens, 1937-	n50018546	n50018546	0.8666666667	Curl, James Stevens, 1937-			Person		http://example.org/1005453#Agent100-13	
Ferriday, Peter	no99086439	100	Ferriday, Peter	no99086439	no99086439	1	Ferriday, Peter			Person		http://example.org/1081073#Agent100-11	
Briggs, Asa, 1921-	n50040878	100	Briggs, Asa, 1921-	n50040878	n50040878	1	Briggs, Asa, 1921-			Person		http://example.org/1032041#Agent100-12	
Morgan, H. Wayne (Howard Wayne)	n50005831	100	Morgan, H. Wayne (Howard Wayne)	n50005831	n50005831	1	Morgan, H. Wayne (Howard Wayne)			Person		http://example.org/10232#Agent100-12	
Reader, W. J. (William Joseph), 1920-	n50043929	100	Reader, W. J. (William Joseph), 1920-	n50043929	n50043929	0.972972973	Reader, W. J. (William Joseph), 1920-			Person		http://example.org/1054884#Agent100-13	
Wardle, Patricia	n50021737	100	Wardle, Patricia	n50021737	n50021737	0.9411764706	Wardle, Patricia			Person		http://example.org/1088269#Agent100-12	
Bell, S. Peter			Bell, S. Peter				Bell, S. Peter			Person		http://example.org/1043373#Agent100-13	
Metcalf, Priscilla	n85175024	100	Metcalf, Priscilla	n85175024	n85175024	1	Metcalf, Priscilla			Person		http://example.org/1081080#Agent100-16	
Shortt, S. E. D. (Samuel Edward Dole), 1947-	n81125842	100	Shortt, S. E. D. (Samuel Edward Dole), 1947-	n81125842	n81125842	1	Shortt, S. E. D. (Samuel Edward Dole), 1947-			Person		http://example.org/1002321#Agent100-15	
Bucke, Richard Maurice, 1837-1902	n50041374	100	Bucke, Richard Maurice, 1837-1902	n50041374	n50041374	0.9705882353	Bucke, Richard Maurice, 1837-1902			Person		http://example.org/1002321#Agent600-26	
London Asylum for Insane (Ont.)	n85232812	100	London Asylum for Insane (Ont.)		n85232812		London Asylum for Insane (Ont.)	n85232812	1	Organization		http://example.org/1002321#Agent610-27	
London Asylum for Insane (Ont.)	n85232812	100	London Asylum for Insane (Ont.)		n85232812		London Asylum for Insane (Ont.)	n85232812	1	Organization		http://example.org/1002321#Agent610-28	
Spellman, Doreen	nr94006630	100	Spellman, Doreen	nr94006630	nr94006630	1	Spellman, Doreen			Person		http://example.org/1074023#Agent100-13	
Spellman, Sidney	nr94006631	100	Spellman, Sidney	nr94006631	nr94006631	1	Spellman, Sidney			Person		http://example.org/1074023#Agent700-23	
Lister, Raymond	n50051363	100	Lister, Raymond	n50051363	n50051363	0.9375	Lister, Raymond			Person		http://example.org/1085318#Agent100-13	
Briggs, John, 1938-			Briggs, John, 1938-				Briggs, John, 1938-			Person		http://example.org/1003391#Agent100-13	
Sellers, Ian	n50006862	100	Sellers, Ian	n50006862	n50006862	1	Sellers, Ian			Person		http://example.org/1003391#Agent700-24	
Roberts, David, 1923-	n79061392	100	Roberts, David, 1923-	n79061392	n79061392	0.84	Roberts, David, 1923-			Person		http://example.org/1027780#Agent100-11	
Ward, W. Reginald (William Reginald)	n50029803	100	Ward, W. Reginald (William Reginald)	n50029803	n50029803	1	Ward, W. Reginald (William Reginald)			Person		http://example.org/1072778#Agent100-10	
University of Oxford	n79095521	100	University of Oxford		n79095521		University of Oxford	n79095521	0.9523809524	Organization		http://example.org/1072778#Agent610-18	
Davis, Frank, 1892-	n50035525	100	Davis, Frank, 1892-	n50035525	n50035525	0.8260869565	Davis, Frank, 1892-			Person		http://example.org/1080948#Agent100-11	
Briggs, Asa, 1921-	n50040878	100	Briggs, Asa, 1921-	n50040878	n50040878	1	Briggs, Asa, 1921-			Person		http://example.org/1067182#Agent100-16	
Avery, Gillian, 1926-	n80044873	88	Avery, Gillian, 1926-	n80044873	n80044873	0.84	Avery, Gillian, 1926-			Person		http://example.org/1027713#Agent100-14	
Cameron, Julia Margaret, 1815-1879	n50031545	100	Cameron, Julia Margaret, 1815-1879	n50031545	n50031545	1	Cameron, Julia Margaret, 1815-1879			Person		http://example.org/1022951#Agent100-11	
Powell, Tristram	n97016172	100	Powell, Tristram	n97016172	n97016172	1	Powell, Tristram			Person		http://example.org/1022951#Agent700-22	
Messenger, N. P.	no00028141	100	Messenger, N. P	no00028141	no00028141	0.8666666667	Messenger, N. P			Person		http://example.org/1065385#Agent100-11	
Watson, J. R. (John Richard), 1934-	n78079488	100	Watson, J. R. (John Richard), 1934- 	n78079488	n78079488	0.9714285714	Watson, J. R. (John Richard), 1934- 			Person		http://example.org/1065385#Agent700-20	
Kingsford, Peter	n50048533	100	Kingsford, Peter	n50048533	n50048533	0.9411764706	Kingsford, Peter			Person		http://example.org/1002011#Agent100-15	
Wyndham, Horace, 1875-	n87897990	100	Wyndham, Horace, 1875-	n87897990	n87897990	0.8461538462	Wyndham, Horace, 1875-			Person		http://example.org/1005572#Agent100-11	
Baker, Valentine, 1827-1887	nr90007328	100	Baker, Valentine, 1827-1887	nr90007328	nr90007328	1	Baker, Valentine, 1827-1887			Person		http://example.org/1005572#Agent600-19	
Bloomer, Mrs. Amelia (Jenks) 1818-1894			Bloomer, Mrs. Amelia (Jenks) 1818-1894				Bloomer, Mrs. Amelia (Jenks) 1818-1894			Person		http://example.org/1005572#Agent600-20	
Stead, W. T. (William Thomas), 1849-1912	n50024308	100	Stead, W. T. (William Thomas), 1849-1912	n50024308	n50024308	1	Stead, W. T. (William Thomas), 1849-1912			Person		http://example.org/1005572#Agent600-21	
Menken, Adah Isaacs, 1835-1868	n82011855	100	Menken, Adah Isaacs, 1835-1868	n82011855	n82011855	1	Menken, Adah Isaacs, 1835-1868			Person		http://example.org/1005572#Agent600-22	
Harrod's Stores, Ltd.	n82146343	100	Harrod's Stores, Ltd		n82146343		Harrod's Stores, Ltd	n82146343	0.9523809524	Organization		http://example.org/1005349#Agent110-11	
Martin, Paul	n85276130	100	Martin, Paul				Martin, Paul			Person		http://example.org/1059379#Agent100-14	
Gillon, Edmund Vincent	n80020433	100	Gillon, Edmund Vincent	n80020433	n80020433	0.9565217391	Gillon, Edmund Vincent			Person		http://example.org/1089049#Agent100-12	
Altick, Richard D. (Richard Daniel), 1915-2008	n50021480	100	Altick, Richard D. (Richard Daniel), 1915-2008	n50021480	n50021480	1	Altick, Richard D. (Richard Daniel), 1915-2008			Person		http://example.org/1036257#Agent100-15	
Dyos, H. J. (Harold James), 1921-1978	n50030194	100	Dyos, H. J. (Harold James), 1921-1978	n50030194	n50030194	1	Dyos, H. J. (Harold James), 1921-1978			Person		http://example.org/1032049#Agent100-11	
Steegman, John, 1899-1966	n50024330	100	Steegman, John, 1899-1966	n50024330	n50024330	1	Steegman, John, 1899-1966			Person		http://example.org/1080649#Agent100-15	
Gloag, John, 1896-1981	n50030589	100	Gloag, John, 1896-1981	n50030589	n50030589	1	Gloag, John, 1896-1981			Person		http://example.org/1077822#Agent100-11	
Smith, Samuel, 1802-1892			Smith, Samuel, 1802-1892				Smith, Samuel, 1802-1892			Person		http://example.org/1071246#Agent100-13	
Millward, Michael	nr96041632	100	Millward, Michael	nr96041632	nr96041632	1	Millward, Michael			Person		http://example.org/1071246#Agent700-23	
Coe, Brian	n81081297	100	Coe, Brian				Coe, Brian			Person		http://example.org/1071246#Agent700-24	
Moore, Katharine	n50004297	100	Moore, Katharine	n50004297	n50004297	0.9411764706	Moore, Katharine			Person		http://example.org/1044885#Agent100-11	
Victoria Symposium on Nonstandard Analysis (1972 : University of Victoria)			Victoria Symposium on Nonstandard Analysis (1972 : University of Victoria)				Victoria Symposium on Nonstandard Analysis (1972 : University of Victoria)			Meeting		http://example.org/1038540#Agent111-11	
Hurd, A. E. (Albert Emerson), 1931-	n83039677	100	Hurd, A. E. (Albert Emerson), 1931-	n83039677	n83039677	1	Hurd, A. E. (Albert Emerson), 1931-			Person		http://example.org/1038540#Agent700-21	
Loeb, Peter	n84123238	91	Loeb, Peter				Loeb, Peter			Person		http://example.org/1038540#Agent700-22	
Raish, Marjorie Gamet			Raish, Marjorie Gamet				Raish, Marjorie Gamet			Person		http://example.org/10533#Agent100-11	
Mellon, Alfred, 1820-1867	n82201926	100	Mellon, Alfred, 1820-1867	n82201926	n82201926	1	Mellon, Alfred, 1820-1867			Person		http://example.org/1067507#Agent100-9	
Thrapp, Dan L.	n50011879	100	Thrapp, Dan L	n50011879	n50011879	0.9285714286	Thrapp, Dan L			Person		http://example.org/1015863#Agent100-13	
Victorio, Apache Chief, -1881	n81017893		Victorio, Apache Chief, -1881	n81017893	n81017893	0.9655172414	Victorio, Apache Chief, -1881			Person		http://example.org/1015863#Agent600-22	
Madariaga, Salvador de, 1886-1978	n79084822	100	Madariaga, Salvador de, 1886-1978	n79084822	n79084822	0.9411764706	Madariaga, Salvador de, 1886-1978			Person		http://example.org/1043293#Agent100-10	
Jeanne, René, 1887-			Jeanne, René, 1887-				Jeanne, René, 1887-			Person		http://example.org/1048555#Agent100-10	
Sjöström, Victor, 1879-1960	n80158803	96	Sjöström, Victor, 1879-1960	n80158803	n80158803	1	Sjöström, Victor, 1879-1960			Person		http://example.org/1048555#Agent600-19	
Ford, Charles, 1908- 	n50024810	87	Ford, Charles, 1908- 	n50024810	n50024810	0.8333333333	Ford, Charles, 1908- 			Person		http://example.org/1048555#Agent700-20	
